review_id,category,rating,review_text,sentiment_label,helpful_votes,verified_purchase,review_date,clean_text,processed_text,text_length,word_count,review_month,review_year,vader_scores,vader_compound,vader_sentiment,dominant_topic
R00068,Electronics,2,Terrible experience. Product arrived damaged and return process is awful.,negative,2,True,2023-04-09,terrible experience product arrived damaged and return process is awful,terrible experience product arrived damaged return process awful,73,10,4,2023,"{'neg': 0.562, 'neu': 0.438, 'pos': 0.0, 'compound': -0.8402}",-0.8402,negative,5
R00222,Food & Kitchen,3,Works fine. Nothing special but does the job.,neutral,19,False,2023-01-04,works fine nothing special but does the job,work fine nothing special job,45,8,1,2023,"{'neg': 0.18, 'neu': 0.665, 'pos': 0.155, 'compound': -0.059}",-0.059,negative,4
R00157,Clothing,5,"Great purchase! Comfortable, stylish and true to size.",positive,36,True,2023-05-27,great purchase comfortable stylish and true to size,great purchase comfortable stylish true size,54,8,5,2023,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.8883}",0.8883,positive,2
R00200,Clothing,1,Awful product. Returned immediately.,negative,14,True,2023-04-17,awful product returned immediately,awful product returned immediately,36,4,4,2023,"{'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}",-0.4588,negative,4
R00011,Electronics,4,Great value for money. Setup was easy and performance is impressive.,positive,8,True,2023-03-30,great value for money setup was easy and performance is impressive,great value money setup easy performance impressive,68,11,3,2023,"{'neg': 0.0, 'neu': 0.355, 'pos': 0.645, 'compound': 0.9136}",0.9136,positive,5
R00031,Electronics,4,Outstanding quality and design. Would definitely buy again.,positive,8,True,2023-12-12,outstanding quality and design would definitely buy again,outstanding quality design would definitely buy,59,8,12,2023,"{'neg': 0.0, 'neu': 0.472, 'pos': 0.528, 'compound': 0.7717}",0.7717,positive,5
R00097,Books,5,Incredible book. Changed my perspective on many things.,positive,36,True,2023-02-22,incredible book changed my perspective on many things,incredible book changed perspective many thing,55,8,2,2023,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral,2
R00236,Food & Kitchen,1,Very disappointed. Broke after minimal use.,negative,2,True,2023-11-01,very disappointed broke after minimal use,disappointed broke minimal use,43,6,11,2023,"{'neg': 0.618, 'neu': 0.382, 'pos': 0.0, 'compound': -0.7559}",-0.7559,negative,4
R00243,Food & Kitchen,2,Waste of money. Stopped working within a month.,negative,6,True,2023-10-15,waste of money stopped working within a month,waste money stopped working within month,47,8,10,2023,"{'neg': 0.485, 'neu': 0.515, 'pos': 0.0, 'compound': -0.5719}",-0.5719,negative,1
R00118,Books,3,Average writing. The story had potential but fell short.,neutral,19,True,2023-06-27,average writing the story had potential but fell short,average writing story potential fell short,56,9,6,2023,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral,4
R00026,Electronics,5,Incredible performance. Way better than my previous device.,positive,6,False,2023-09-25,incredible performance way better than my previous device,incredible performance way better previous device,59,8,9,2023,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}",0.4404,positive,1
R00245,Food & Kitchen,1,Not as advertised. Much smaller than shown in pictures.,negative,0,True,2023-08-13,not as advertised much smaller than shown in pictures,advertised much smaller shown picture,55,9,8,2023,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral,4
R00019,Electronics,5,"Love this product! Fast, reliable and looks great. Worth every penny.",positive,39,False,2023-08-25,love this product fast reliable and looks great worth every penny,love product fast reliable look great worth every penny,69,11,8,2023,"{'neg': 0.0, 'neu': 0.433, 'pos': 0.567, 'compound': 0.8883}",0.8883,positive,4
R00133,Books,2,Extremely boring. Could not finish it.,negative,16,True,2023-03-25,extremely boring could not finish it,extremely boring could finish,38,6,3,2023,"{'neg': 0.341, 'neu': 0.659, 'pos': 0.0, 'compound': -0.3804}",-0.3804,negative,2
R00199,Clothing,1,Awful product. Returned immediately.,negative,8,True,2023-02-16,awful product returned immediately,awful product returned immediately,36,4,2,2023,"{'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}",-0.4588,negative,4
R00056,Electronics,3,"Standard product. Works as described, nothing extraordinary.",neutral,5,True,2023-09-16,standard product works as described nothing extraordinary,standard product work described nothing extraordinary,60,7,9,2023,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral,3
R00046,Electronics,3,Product is acceptable. Instructions could be clearer.,neutral,6,True,2023-04-23,product is acceptable instructions could be clearer,product acceptable instruction could clearer,53,7,4,2023,"{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.3182}",0.3182,positive,2
R00217,Food & Kitchen,5,Outstanding kitchen item. Professional quality at home price.,positive,36,False,2023-05-30,outstanding kitchen item professional quality at home price,outstanding kitchen item professional quality home price,61,8,5,2023,"{'neg': 0.0, 'neu': 0.636, 'pos': 0.364, 'compound': 0.6124}",0.6124,positive,1
R00110,Books,4,Perfect blend of education and entertainment. Truly remarkable.,positive,48,True,2023-07-23,perfect blend of education and entertainment truly remarkable,perfect blend education entertainment truly remarkable,63,8,7,2023,"{'neg': 0.0, 'neu': 0.235, 'pos': 0.765, 'compound': 0.9186}",0.9186,positive,4
R00061,Electronics,1,Very disappointed. Product stopped working after two weeks.,negative,9,True,2023-09-09,very disappointed product stopped working after two weeks,disappointed product stopped working two week,59,8,9,2023,"{'neg': 0.481, 'neu': 0.519, 'pos': 0.0, 'compound': -0.6764}",-0.6764,negative,5
R00184,Clothing,1,Very poor quality. Stitching came apart after first wash.,negative,6,True,2023-09-09,very poor quality stitching came apart after first wash,poor quality stitching came apart first wash,57,9,9,2023,"{'neg': 0.298, 'neu': 0.702, 'pos': 0.0, 'compound': -0.5256}",-0.5256,negative,1
R00017,Electronics,5,Fantastic build quality. Exceeded my expectations in every way.,positive,33,True,2023-09-27,fantastic build quality exceeded my expectations in every way,fantastic build quality exceeded expectation every way,63,9,9,2023,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.5574}",0.5574,positive,1
R00120,Books,3,Average writing. The story had potential but fell short.,neutral,10,False,2023-11-19,average writing the story had potential but fell short,average writing story potential fell short,56,9,11,2023,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral,4
R00069,Electronics,1,Not as described. Cheap materials and weak performance.,negative,17,True,2023-12-04,not as described cheap materials and weak performance,described cheap material weak performance,55,8,12,2023,"{'neg': 0.293, 'neu': 0.707, 'pos': 0.0, 'compound': -0.4404}",-0.4404,negative,2
R00171,Clothing,3,Okay quality. Fits as expected but nothing remarkable.,neutral,16,False,2023-04-08,okay quality fits as expected but nothing remarkable,okay quality fit expected nothing remarkable,54,8,4,2023,"{'neg': 0.343, 'neu': 0.529, 'pos': 0.128, 'compound': -0.5324}",-0.5324,negative,5
R00039,Electronics,3,Average quality. Expected more features for this price range.,neutral,11,True,2023-11-27,average quality expected more features for this price range,average quality expected feature price range,61,9,11,2023,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral,5
R00246,Food & Kitchen,1,Not as advertised. Much smaller than shown in pictures.,negative,1,True,2023-04-14,not as advertised much smaller than shown in pictures,advertised much smaller shown picture,55,9,4,2023,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral,4
R00155,Clothing,5,Excellent quality. Well made and the color is gorgeous.,positive,43,False,2023-06-22,excellent quality well made and the color is gorgeous,excellent quality well made color gorgeous,55,9,6,2023,"{'neg': 0.0, 'neu': 0.38, 'pos': 0.62, 'compound': 0.8689}",0.8689,positive,3
R00212,Food & Kitchen,5,Perfect for everyday use. Well designed and very practical.,positive,2,True,2023-05-26,perfect for everyday use well designed and very practical,perfect everyday use well designed practical,59,9,5,2023,"{'neg': 0.0, 'neu': 0.547, 'pos': 0.453, 'compound': 0.7003}",0.7003,positive,3
R00119,Books,3,Average writing. The story had potential but fell short.,neutral,2,True,2023-06-28,average writing the story had potential but fell short,average writing story potential fell short,56,9,6,2023,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral,4
R00196,Clothing,2,Not as described. Much lower quality than pictures suggest.,negative,9,True,2023-11-22,not as described much lower quality than pictures suggest,described much lower quality picture suggest,59,9,11,2023,"{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.296}",-0.296,negative,1
R00241,Food & Kitchen,1,Poor design. Difficult to use and even harder to clean.,negative,13,True,2023-05-12,poor design difficult to use and even harder to clean,poor design difficult use even harder clean,55,10,5,2023,"{'neg': 0.366, 'neu': 0.458, 'pos': 0.176, 'compound': -0.4404}",-0.4404,negative,4
R00080,Books,4,Absolutely captivating! Couldn't put it down. A masterpiece.,positive,23,True,2023-10-29,absolutely captivating couldnt put it down a masterpiece,absolutely captivating couldnt put masterpiece,60,8,10,2023,"{'neg': 0.0, 'neu': 0.577, 'pos': 0.423, 'compound': 0.6588}",0.6588,positive,1
R00148,Clothing,5,Perfect fit! Great quality fabric and beautiful design.,positive,30,True,2023-12-30,perfect fit great quality fabric and beautiful design,perfect fit great quality fabric beautiful design,55,8,12,2023,"{'neg': 0.0, 'neu': 0.216, 'pos': 0.784, 'compound': 0.9381}",0.9381,positive,5
R00166,Clothing,4,Fantastic clothing item. Got many compliments wearing it.,positive,45,True,2023-03-23,fantastic clothing item got many compliments wearing it,fantastic clothing item got many compliment wearing,57,8,3,2023,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.743}",0.743,positive,1
R00098,Books,5,Incredible book. Changed my perspective on many things.,positive,43,False,2023-04-13,incredible book changed my perspective on many things,incredible book changed perspective many thing,55,8,4,2023,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral,2
R00154,Clothing,4,Excellent quality. Well made and the color is gorgeous.,positive,48,True,2023-04-27,excellent quality well made and the color is gorgeous,excellent quality well made color gorgeous,55,9,4,2023,"{'neg': 0.0, 'neu': 0.38, 'pos': 0.62, 'compound': 0.8689}",0.8689,positive,3
R00076,Electronics,2,Very bad quality. Already showing signs of wear after 3 days.,negative,14,True,2023-11-13,very bad quality already showing signs of wear after days,bad quality already showing sign wear day,61,11,11,2023,"{'neg': 0.296, 'neu': 0.704, 'pos': 0.0, 'compound': -0.5849}",-0.5849,negative,3
R00083,Books,5,Brilliant writing. One of the best books I've read this decade.,positive,2,True,2023-10-08,brilliant writing one of the best books ive read this decade,brilliant writing one best book ive read decade,63,11,10,2023,"{'neg': 0.0, 'neu': 0.529, 'pos': 0.471, 'compound': 0.8402}",0.8402,positive,2
R00102,Books,5,Wonderful narrative. Engaging from the first to the last page.,positive,18,True,2023-12-12,wonderful narrative engaging from the first to the last page,wonderful narrative engaging first last page,62,10,12,2023,"{'neg': 0.0, 'neu': 0.567, 'pos': 0.433, 'compound': 0.7269}",0.7269,positive,2
R00198,Clothing,2,Not as described. Much lower quality than pictures suggest.,negative,1,True,2023-08-06,not as described much lower quality than pictures suggest,described much lower quality picture suggest,59,9,8,2023,"{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.296}",-0.296,negative,1
R00127,Books,3,Readable but forgettable. Nothing that stands out.,neutral,17,True,2023-08-05,readable but forgettable nothing that stands out,readable forgettable nothing stand,50,7,8,2023,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral,5
R00070,Electronics,2,Not as described. Cheap materials and weak performance.,negative,2,True,2023-06-18,not as described cheap materials and weak performance,described cheap material weak performance,55,8,6,2023,"{'neg': 0.293, 'neu': 0.707, 'pos': 0.0, 'compound': -0.4404}",-0.4404,negative,2
R00201,Food & Kitchen,5,Excellent product! Works better than expected in the kitchen.,positive,16,True,2023-09-14,excellent product works better than expected in the kitchen,excellent product work better expected kitchen,61,9,9,2023,"{'neg': 0.0, 'neu': 0.504, 'pos': 0.496, 'compound': 0.784}",0.784,positive,4
R00128,Books,3,Readable but forgettable. Nothing that stands out.,neutral,3,True,2023-07-11,readable but forgettable nothing that stands out,readable forgettable nothing stand,50,7,7,2023,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral,5
R00115,Books,3,Decent book. Interesting premise but execution was average.,neutral,9,True,2023-04-06,decent book interesting premise but execution was average,decent book interesting premise execution average,59,8,4,2023,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.2144}",0.2144,positive,2
R00194,Clothing,1,Poor material. Feels cheap and uncomfortable.,negative,2,True,2023-06-09,poor material feels cheap and uncomfortable,poor material feel cheap uncomfortable,45,6,6,2023,"{'neg': 0.588, 'neu': 0.412, 'pos': 0.0, 'compound': -0.6908}",-0.6908,negative,3
R00109,Books,4,Perfect blend of education and entertainment. Truly remarkable.,positive,28,True,2023-03-10,perfect blend of education and entertainment truly remarkable,perfect blend education entertainment truly remarkable,63,8,3,2023,"{'neg': 0.0, 'neu': 0.235, 'pos': 0.765, 'compound': 0.9186}",0.9186,positive,4
R00114,Books,3,Decent book. Interesting premise but execution was average.,neutral,4,False,2023-06-29,decent book interesting premise but execution was average,decent book interesting premise execution average,59,8,6,2023,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.2144}",0.2144,positive,2
R00074,Electronics,2,Horrible product. Would not recommend to anyone.,negative,5,False,2023-02-20,horrible product would not recommend to anyone,horrible product would recommend anyone,48,7,2,2023,"{'neg': 0.529, 'neu': 0.471, 'pos': 0.0, 'compound': -0.6818}",-0.6818,negative,3
R00140,Books,1,Waste of time. Nothing happens for 200 pages.,negative,2,False,2023-08-23,waste of time nothing happens for pages,waste time nothing happens page,45,8,8,2023,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.4215}",-0.4215,negative,2
R00030,Electronics,4,Outstanding quality and design. Would definitely buy again.,positive,25,True,2023-12-25,outstanding quality and design would definitely buy again,outstanding quality design would definitely buy,59,8,12,2023,"{'neg': 0.0, 'neu': 0.472, 'pos': 0.528, 'compound': 0.7717}",0.7717,positive,5
R00125,Books,3,Not bad. A few interesting chapters but mostly predictable.,neutral,7,True,2023-03-31,not bad a few interesting chapters but mostly predictable,bad interesting chapter mostly predictable,59,9,3,2023,"{'neg': 0.171, 'neu': 0.628, 'pos': 0.201, 'compound': 0.0762}",0.0762,positive,4
R00116,Books,3,Okay read. Some good parts but overall felt incomplete.,neutral,4,True,2023-01-16,okay read some good parts but overall felt incomplete,okay read good part overall felt incomplete,55,9,1,2023,"{'neg': 0.0, 'neu': 0.673, 'pos': 0.327, 'compound': 0.34}",0.34,positive,5
R00085,Books,5,Brilliant writing. One of the best books I've read this decade.,positive,45,True,2023-10-15,brilliant writing one of the best books ive read this decade,brilliant writing one best book ive read decade,63,11,10,2023,"{'neg': 0.0, 'neu': 0.529, 'pos': 0.471, 'compound': 0.8402}",0.8402,positive,2
R00006,Electronics,5,"Excellent quality, fast delivery. Exactly as described. Highly recommend!",positive,20,True,2023-11-10,excellent quality fast delivery exactly as described highly recommend,excellent quality fast delivery exactly described highly recommend,73,9,11,2023,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.7773}",0.7773,positive,1
R00057,Electronics,3,"Standard product. Works as described, nothing extraordinary.",neutral,19,True,2023-12-12,standard product works as described nothing extraordinary,standard product work described nothing extraordinary,60,7,12,2023,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral,3
R00144,Books,1,Dreadful book. The characters are flat and uninteresting.,negative,17,False,2023-07-13,dreadful book the characters are flat and uninteresting,dreadful book character flat uninteresting,57,8,7,2023,"{'neg': 0.293, 'neu': 0.707, 'pos': 0.0, 'compound': -0.4404}",-0.4404,negative,2
R00227,Food & Kitchen,3,Acceptable quality. A bit tricky to clean though.,neutral,3,True,2023-08-13,acceptable quality a bit tricky to clean though,acceptable quality bit tricky clean though,49,8,8,2023,"{'neg': 0.151, 'neu': 0.377, 'pos': 0.472, 'compound': 0.5267}",0.5267,positive,5
R00153,Clothing,4,Excellent quality. Well made and the color is gorgeous.,positive,2,True,2023-07-09,excellent quality well made and the color is gorgeous,excellent quality well made color gorgeous,55,9,7,2023,"{'neg': 0.0, 'neu': 0.38, 'pos': 0.62, 'compound': 0.8689}",0.8689,positive,3
R00066,Electronics,2,Terrible experience. Product arrived damaged and return process is awful.,negative,0,True,2023-03-16,terrible experience product arrived damaged and return process is awful,terrible experience product arrived damaged return process awful,73,10,3,2023,"{'neg': 0.562, 'neu': 0.438, 'pos': 0.0, 'compound': -0.8402}",-0.8402,negative,5
R00210,Food & Kitchen,4,"Love this kitchen tool! Durable, efficient and easy to clean.",positive,16,True,2023-05-06,love this kitchen tool durable efficient and easy to clean,love kitchen tool durable efficient easy clean,61,10,5,2023,"{'neg': 0.0, 'neu': 0.318, 'pos': 0.682, 'compound': 0.9168}",0.9168,positive,4
R00137,Books,1,Terrible writing. Full of plot holes and inconsistencies.,negative,2,True,2023-02-22,terrible writing full of plot holes and inconsistencies,terrible writing full plot hole inconsistency,57,8,2,2023,"{'neg': 0.307, 'neu': 0.693, 'pos': 0.0, 'compound': -0.4767}",-0.4767,negative,1
R00237,Food & Kitchen,2,Terrible quality. Not dishwasher safe despite claims.,negative,11,True,2023-05-17,terrible quality not dishwasher safe despite claims,terrible quality dishwasher safe despite claim,53,7,5,2023,"{'neg': 0.524, 'neu': 0.476, 'pos': 0.0, 'compound': -0.6711}",-0.6711,negative,3
R00147,Clothing,4,Perfect fit! Great quality fabric and beautiful design.,positive,24,True,2023-10-19,perfect fit great quality fabric and beautiful design,perfect fit great quality fabric beautiful design,55,8,10,2023,"{'neg': 0.0, 'neu': 0.216, 'pos': 0.784, 'compound': 0.9381}",0.9381,positive,5
R00032,Electronics,3,Decent product for the price. Does what it's supposed to do.,neutral,12,True,2023-12-18,decent product for the price does what its supposed to do,decent product price supposed,60,11,12,2023,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral,1
R00013,Electronics,5,"Best purchase I made this year. Works flawlessly, very happy with it.",positive,46,True,2023-09-21,best purchase i made this year works flawlessly very happy with it,best purchase made year work flawlessly happy,69,12,9,2023,"{'neg': 0.0, 'neu': 0.445, 'pos': 0.555, 'compound': 0.8748}",0.8748,positive,2
R00036,Electronics,3,It's okay. Nothing special but gets the job done.,neutral,12,True,2023-07-06,its okay nothing special but gets the job done,okay nothing special get job done,49,9,7,2023,"{'neg': 0.162, 'neu': 0.695, 'pos': 0.144, 'compound': -0.0462}",-0.0462,neutral,3
R00029,Electronics,4,"Perfect product, arrived quickly and works exactly as advertised.",positive,34,True,2023-05-11,perfect product arrived quickly and works exactly as advertised,perfect product arrived quickly work exactly advertised,65,9,5,2023,"{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.5719}",0.5719,positive,3
R00043,Electronics,3,Works fine. Delivery took longer than expected though.,neutral,4,True,2023-08-22,works fine delivery took longer than expected though,work fine delivery took longer expected though,54,8,8,2023,"{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.2023}",0.2023,positive,2
R00168,Clothing,5,Very happy with this purchase. Quality exceeded expectations.,positive,44,True,2023-10-16,very happy with this purchase quality exceeded expectations,happy purchase quality exceeded expectation,61,8,10,2023,"{'neg': 0.0, 'neu': 0.637, 'pos': 0.363, 'compound': 0.6115}",0.6115,positive,3
R00023,Electronics,4,Top notch quality. Customer service was also very helpful.,positive,43,True,2023-03-04,top notch quality customer service was also very helpful,top notch quality customer service also helpful,58,9,3,2023,"{'neg': 0.0, 'neu': 0.589, 'pos': 0.411, 'compound': 0.5984}",0.5984,positive,1
R00094,Books,5,Loved every page. The author's storytelling is exceptional.,positive,22,True,2023-02-20,loved every page the authors storytelling is exceptional,loved every page author storytelling exceptional,59,8,2,2023,"{'neg': 0.0, 'neu': 0.642, 'pos': 0.358, 'compound': 0.5994}",0.5994,positive,2
R00193,Clothing,1,Disappointed. Color faded immediately after washing.,negative,15,True,2023-01-08,disappointed color faded immediately after washing,disappointed color faded immediately washing,52,6,1,2023,"{'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.4767}",-0.4767,negative,3
R00231,Food & Kitchen,3,"Average kitchen item. Does what it promises, nothing more.",neutral,2,True,2023-06-27,average kitchen item does what it promises nothing more,average kitchen item promise nothing,58,9,6,2023,"{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.3818}",0.3818,positive,4
R00052,Electronics,3,Reasonable quality. A few minor issues but overall acceptable.,neutral,10,True,2023-09-12,reasonable quality a few minor issues but overall acceptable,reasonable quality minor issue overall acceptable,62,9,9,2023,"{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.4497}",0.4497,positive,5
R00096,Books,4,Loved every page. The author's storytelling is exceptional.,positive,41,False,2023-02-23,loved every page the authors storytelling is exceptional,loved every page author storytelling exceptional,59,8,2,2023,"{'neg': 0.0, 'neu': 0.642, 'pos': 0.358, 'compound': 0.5994}",0.5994,positive,2
